Tema 32;El contenido del Consejo Superior de Tráfico, Seguridad Vial y Movilidad Sostenible previsto en el Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad vial fue modificado por:;B;Por la Ley Orgánica 19/2008.;Por la Ley 18/2009.;Por la Ley 12/2007.;Por Real Decreto Ley 12/2007.;;;
Tema 32;De acuerdo con el Reglamento General de Circulación los preceptos de la Ley sobre Tráfico, Circulación de Vehículos a Motor y Seguridad Vial, los de este Reglamento y los de las demás disposiciones que la desarrollen serán aplicables:;A;A las vías y terrenos que, sin tener tal aptitud, sean de uso común y, en defecto de otras normas, a los de las vías y terrenos privados que sean utilizados por una colectividad indeterminada de usuarios;A las vías y terrenos que, sin tener tal aptitud, sean de uso privado y, en defecto de otras normas, a los de las vías y terrenos comunes que sean utilizados por una colectividad indeterminada de usuarios;Las respuestas a) y b) son acertadas.;Todas las respuestas son erróneas.;;;
Tema 32;No podrá circular por las vías objeto de la legislación sobre Tráfico, Circulación de Vehículos a Motor y Seguridad Vial, el conductor de vehículos con una tasa de alcohol en sangre superior a:;C;0.25 gramos por litro, o de alcohol en aire espirado superior a 0.25 miligramos por litro.;0.5 gramos por litro, o de alcohol en aire espirado superior a 0.50 miligramos por litro.;0.5 gramos por litro, o de alcohol en aire espirado superior a 0.25 miligramos por litro.;Ninguna de las opciones dada es correcta.;;;
Tema 32;Cuando se trate de vehículos destinados al transporte de mercancías con una máxima autorizada superior a 3.500 kilogramos, vehículos destinados al transporte de viajeros de más de nueve plazas, o de servicio público, al escolar o de menores, al de mercancías peligrosas o de servicio de urgencia o transportes especiales, los conductores no podrán hacerlo con una tasa de alcohol en sangre superior a:;C;0.5 gramos por litro, o de alcohol en aire espirado superior a 0.25 miligramos por litro;0.3 gramos por litro, o de alcohol en aire espirado superior a 0.30 miligramos por litro;0.3 gramos por litro, o de alcohol en aire espirado superior a 0.15 miligramos por litro.;Ninguna de las opciones dadas es correcta.;;;
Tema 32;Las tasas máximas de alcohol en aire espirado y en sangre están reguladas:;D;En el artículo 23 del Reglamento General de Circulación.;En el artículo 22 del Reglamento General de Circulación;En el artículo 21 del Reglamento General de Circulación;En el artículo 20 del Reglamento General de Circulación.;;;
Tema 32;Los conductores de cualquier vehículo no podrán superar la tasa de alcohol en sangre de 0.3 gramos por litro, ni de alcohol en aire espirado de 0.15 miligramos por litro, durante:;A;Los dos años siguientes a la obtención del permiso o licencia que les habilita para conducir;Los tres años siguientes a la obtención del permiso o licencia que les habilita para conducir;El año siguiente a la obtención del permiso o licencia que les habilita para conducir;Los dieciocho meses siguientes a la obtención del permiso o licencia que les habilita para conducir.;;;
Tema 32;Según la Dirección General de la Salud del Ministerio de Sanidad y Seguridad Social, los efectos generales de las diferentes tasas de alcoholemia se agrupan en tres apartados, los cuales son:;B;Relaja el autocontrol., disminuye el juicio y perturba la razón.;Deprime las funciones superiores, disminuye los controles sensoriales y motores y deprime las funciones vitales.;Altera el equilibrio, altera la palabra y hace ver doble.;Alarga el tiempo de reacción, disminuye la agudeza visual y auditiva y produce efecto túnel.;;;
Tema 32;Las pruebas consistentes en análisis de sangre, orina u otras análogas deberán efectuarse:;C;A petición del interesado a efectos de contraste.;Cuando sean decididas por orden judicial;Las respuestas a) y b) son acertadas.;Todas las respuestas son erróneas.;;;
Tema 32;Todos los conductores de vehículos y de bicicletas quedan obligados a someterse a las pruebas que se establezcan para la detección de las posibles intoxicaciones por alcohol:;A;Cierto y además quedan obligados los demás usuarios de la vía cuando se hallen implicados en algún accidente de circulación.;Falso solo si presentan sintomas evidentes de encontrarse influenciados.;Falso, solo si se trata de un control preventivo de alcoholemia o una infracción de tráfico.;Todas las respuestas son erróneas.;;;
Tema 32;Los agentes de la autoridad encargados de la vigilancia del tráfico podrán someter a las pruebas de alcoholemia a:;D;A cualquier usuario de la vía o conductor de vehículo implicado directamente como posible responsable en un accidente de circulación.;A quienes conduzcan cualquier vehículo con síntomas evidentes, manifestaciones que denoten o hechos que permitan razonablemente presumir que lo hacen bajo la influencia de bebidas alcoholicas.;A los conductores que sean denunciados por la comisión de alguna de las infracciones a las normas contenidas en este Reglamento y a los que, con ocasión de conducir un vehículo, sean requeridos al efecto por la autoridad o sus agentes dentro de los programas de controles preventivos de alcoholemia ordenados por dicha autoridad;Todas las respuestas son acertadas.;;;
Tema 32;Según la DGT una tasa superior a 2,5 gramos por litro en sangre multiplica los efectos por:;B;20;40;60;80;;;
Tema 32;Las normas a tener en cuenta para la realización de la prueba de alcoholemia. comprende los siguientes apartados:;D;Descripción del etilómetro utilizado (Marca, modelo y número de serie).;Información en el citado acto al conductor sobre la mecánica de funcionamiento del etilómetro.;Manifestación del conductor sobre su conformidad/disconformidad a la realización de la prueba.;Todas son acertadas.;;;
Tema 32;Las normas a tener en cuenta para la realización de la prueba de alcoholemia, comprende los siguientes apartados:;B;Lugar fecha y día de las pruebas efectuadas y resultado obtenido de las mismas.;Comunicación a la persona sometida a examen al sometimiento a efectos de contraste a la práctica de una segunda prueba idéntica a la anterior.;Informar del derecho que le asiste a controlar por sí, o por cualquiera de sus acompañantes o testigos presentes, que entre la realización de la primera y segunda prueba medie un tiempo mínimo de doce minutos.;Todas las respuestas son acertadas.;;;
Tema 32;Las normas a tener en cuenta para la realización de la prueba de alcoholemia, comprende los siguientes apartados:;C;Informar del derecho que le faculta a formular cuantas alegaciones u observaciones tenga por conveniente, por sí o por medio de su acompañante o defensor si lo tuviere, las cuales se consignarán en diligencia aparte.;Informar al implicado del derecho que asiste a contrastar los resultados obtenidos anteriormente mediante análisis de sangre, orina u otros analogos, que el personal del Centro Médico al que sea trasladado estime más adecuado;Las respuestas a) y b) son acertadas.;Todas las respuestas son erróneas.;;;
Tema 32;Con respecto a la realización de los análisis realizados en los Centros de Salud:;D;El importe de dichos análisis deberá ser previamente depositado por el interesado y con él se atenderá al pago cuando el resultado de la prueba de contraste sea positivo.;Si el personal facultativo del centro apreciara que las pruebas solicitadas por el interesado son las adecuadas, adoptará las medidas tendentes a cumplir lo dispuesto en el artículo 26;Los gastos generados serán a cargo de los órganos periféricos del organismo autónomo Jefatura Central de Tráfico o de las autoridades municipales o autonómicas competentes cuando sea negativo, devolviéndose el depósito en este último caso.;Todas las opciones dadas son acertadas.;;;
Tema 32;El personal sanitario, con respecto a la realización de los análisis de sangre, orina o similares para la determinación del grado impregnación alcohólica:;C;Vendrá obligado siempre a realizar tales pruebas.;Sólo cuando lo solicite el abogado del turno de oficio y si se presenta antes de las 8 horas;Vendrá obligado a realizarlas por orden judicial o a requerimiento del interesado.;Todas las respuestas son falsas.;;;
Tema 32;El personal sanitario, con respecto a la realización de los análisis de sangre, orma o similares para la determinación del grado impregnación alcohólica:;C;Hará constar el sistema empleado en la investigación de la alcoholemia.;Hará constar la hora exacta en la que se tomó la muestra y el método utilizado para su conservación.;Las respuestas a) y b) son acertadas.;Las respuestas a) y b) son falsas.;;;
Tema 32;En el método de detección alcohólica mediante aire espirado, la conversión se realiza teniendo en cuenta que:;A;En 1000 cc de aire alveolar existe la misma cantidad de alcohol que en Icc. De sangre;En 1600 cc de aire alveolar existe la misma cantidad de alcohol que en 1cc. De sangre;En 2000 cc de aire alveolar existe la misma cantidad de alcohol que en 1cc. De sangre;En 2100 cc de aire alveolar existe la misma cantidad de alcohol que en 1cc. De sangre;;;
Tema 32;En las pruebas de sangre, para la determinación del grado de impregnación alcohólica el facultativo se debe utilizar como anticoagulante y conservante de la muestra sanguínea, respectivamente:;A;Oxalato potásico y fluoruro sódico;Fluoruro Sódico y cloruro potásico;Cloruro potásico y diametilbencilo;Oxalato potásico y bicarbonato amónico.;;;
Tema 32;¿Qué tipos de etilómetros son los más utilizados habitualmente en España?;B;Los simples y los complejos.;Los digitales y los evidenciales.;Los digitales, los analógicos y los evidenciales.;Los analógicos y los evidenciales.;D;;
Tema 32;En la actualidad y siguiendo las conclusiones de la Jornadas de Fiscales de Seguridad Vial realizadas en Madrid en 2008:;C;La negativa al sometimiento a las pruebas de alcoholemia solo se considerará delito cuando presente sintomatología evidente de encontrarse influenciado.;La negativa al sometimiento a las pruebas de alcoholemia es con la nueva;redacción del artículo 380 siempre delito.;La negativa al sometimiento a las pruebas de alcoholemia es delito si la misma se produjera como consecuencia de cualquiera de los casos previstos en el artículo 21 del Reglamento General de Circulación.;;;
Tema 32;Son infracciones que pueden llevar aparejada la práctica de las pruebas de alcoholemia:;C;Solo las muy graves al Texto Refundido.;Las leves y muy graves.;Las leves, graves y muy graves;Las infracciones que exclusivamente se originen como consecuencia de conducciones temerarias.;;;
Tema 32;La negativa al sometimiento a las pruebas de alcoholemia es delito si la misma se produjera como consecuencia de cualquiera de los casos previstos en el artículo 21 del Reglamento General de Circulación y en caso de ser sancionada administrativamente podrá suponer la pérdida de:;B;4 puntos;6 puntos;3 puntos;8 puntos.;;;
Tema 32;De acuerdo con el Anexo II del Texto Refundido, conducir con una tasa de alcohol superior a la reglamentariamente establecida valores mg/l aire espirado, más de 0,50 (profesionales y titulares de permisos de conducción con menos de dos años de antigüedad más de 0,30 mg/1) supondrá la pérdida de:;A;6 puntos;4 puntos;8 puntos;2 puntos;;;
Tema 32;El Título Preliminar del Reglamento General de Circulación está dedicado al:;A;Ámbito de aplicación de las normas sobre tráfico, circulación de vehículos a motor y seguridad vial;Ejercicio de la coordinación de competencias;Archivo de actuación municipales.;Todas las respuestas son erróneas;;;
Tema 32;Con respecto al ámbito de aplicación al que se hace referencia en el Reglamento General de Circulación, este no será aplicable:;A;A los caminos, terrenos, garajes, cocheras u otros locales de similar naturaleza, construidos dentro de fincas privadas, sustraídos al uso público y destinados al uso exclusivo de los propietarios y sus dependientes.;A las vías que, sin tener la consideración de públicas, sean de uso común.;A los terrenos privados utilizados por una colectividad indeterminada de usuarios.;Todas las respuestas dadas son acertadas.;;;
Tema 32;Tras la entrada en vigor de la Ley 6/2014 fue aprobado:;A;El Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad;El Reglamento General de Circulación.;Las respuestas a) y b) son acertadas.;Las respuestas a) y b) son erróneas.;;;
Tema 32;La conducción negligente es una infracción:;B;Grave que lleva aparejada la detracción de 4 puntos.;Graves sin detracción de puntos.;Muy grave con detracción de 6 puntos.;Muy grave sin detracción de puntos.;;;
Tema 32;La conducción temeraria es una infracción:;C;Grave que lleva aparejada la detracción de 4 puntos.;Graves sin detracción de puntos.;Muy grave con detracción de 6 puntos.;Muy grave sin detracción de puntos.;;;
Tema 32;No se considerarán obstáculos en la calzada los resaltos en los pasos para peatones y bandas transversales, siempre que cumplan la regulación básica establecida al efecto por el Ministerio de Fomento y se garantice la seguridad vial de los usuarios y, en particular, de los ciclistas. ¿A qué regulación se hace referencia?;B;A la Orden FOM/3052/2006.;A la Orden FOM/3053/2008.;A la Orden FOM/1053/2008.;A la Orden FOM/52/2010.;;;
Tema 32;Se prohíbe arrojar a la vía o en sus inmediaciones cualquier objeto que pueda dar lugar a la producción de incendios o, en general, poner en peligro la seguridad vial. Las infracciones a este precepto tendrán la consideración de infracción:;B;Leve.;Grave con 200 euros de sanción.;Muy grave con 500 euros de sanción.;Muy grave con sanción de 301 a 1500 euros de sanción en función de la gravedad del hecho.;;;
Tema 32;En los ciclomotores y en las motocicletas, además del conductor y, en su caso, del ocupante del sidecar de éstas, puede viajar, siempre que así conste en su licencia o permiso de circulación, un pasajero que sea mayor de 12 años, utilice casco de protección y cumpla las siguientes condiciones:;C;Que vaya a horcajadas y con los pies apoyados en los reposapiés laterales.;Que utilice el asiento correspondiente detrás del conductor.;Las respuestas a) y b) son acertadas.;Las respuestas a) y b) son erróneas.;;;
Tema 32;Completa la siguiente frase: Los ciclos que, por construcción, no puedan ser ocupados por más de una persona podrán transportar, no obstante, cuando el conductor sea mayor de _____ años, un menor de hasta ____ años en asiento adicional que habrá de ser homologado.;C;16 años/12 años;18 años/12 años;18 años/7 años.;Todas las respuestas son erróneas;;;
Tema 32;Las motocicletas, los vehículos de tres ruedas, los ciclomotores y los ciclos y bicicletas podrán arrastrar un remolque o semirremolque, siempre que no superen el 50 % de la masa en vacío del vehículo tractor y se cumplan las siguientes condiciones:;D;Que la circulación sea de día y en condiciones que no disminuyan la visibilidad.;Que la velocidad a que se circule en estas condiciones quede reducida en un 10% respecto a las velocidades genéricas que para estos vehículos se establecen en el artículo 48.;Que en ningún caso transporten personas en el vehículo remolcado.;Todas las opciones dadas son acertadas.;;;
Tema 32;La carga transportada en un vehículo, así como los accesorios que se utilicen para su acondicionamiento o protección, deben estar dispuestos y, si fuera necesario, sujetos de tal forma que no puedan:;D;Arrastrar, caer total o parcialmente o desplazarse de manera peligrosa.;Comprometer la estabilidad del vehículo.;Producir ruido, polvo u otras molestias que puedan ser evitadas.;Todas las opciones dadas son acertadas.;;;
Tema 32;En los vehículos destinados exclusivamente al transporte de mercancias, tratándose de cargas indivisibles y siempre que se cumplan las condiciones establecidas para su estiba y acondicionamiento, podrán sobresalir: En el caso de vigas, postes, tubos u otras cargas de longitud indivisible:;C;En vehículos de longitud superior a cinco metros, tres metros por la parte anterior y tres metros por la posterior.;En vehículos de longitud superior a cinco metros, dos metros y medio por la parte anterior y tres metros por la posterior.;En vehículos de longitud superior a cinco metros, dos metros por la parte anterior y tres metros por la posterior.;En vehículos de longitud superior a cinco metros, dos metros por la parte anterior y dos metros por la posterior.;;;
Tema 32;En los vehículos destinados exclusivamente al transporte de mercancías, tratándose de cargas indivisibles y siempre que se cumplan las condiciones establecidas para su estiba y acondicionamiento, podrán sobresalir: En el caso de vigas, postes, tubos u otras cargas de longitud indivisible:;D;En vehículos de longitud igual o inferior a cinco metros, dos tercios de la longitud del vehículo por cada extremo anterior y posterior.;En vehículos de longitud igual o inferior a cinco metros, un medio de la longitud del vehículo por cada extremo anterior y posterior.;En vehículos de longitud igual o inferior a cinco metros, la cuarta parte de la longitud del vehículo por cada extremo anterior y posterior.;En vehículos de longitud igual o inferior a cinco metros, el tercio de la longitud del vehículo por cada extremo anterior y posterior.;;;
Tema 32;Completa los siguientes apartados: En el caso de que la dimensión menor de la carga indivisible sea superior al ancho del vehículo, podrá sobresalir hasta ____ metros por cada lateral, siempre que el ancho total no sea superior a _____ metros.;A;0,40 / 2,55;0,60 / 2,60;0,40 / 2,50;0,55 / 2,40.;;;
Tema 32;En los vehículos de anchura inferior a un metro la carga:;B;No deberá sobresalir lateralmente en ningún caso.;Podrá sobresalir lateralmente hasta 0,50 metros a cada lado de su eje longitudinal.;Podrá sobresalir lateralmente hasta 0,25 metros a cada lado de su eje longitudinal.;No existe regulación a este respecto.;;;
Tema 32;En los vehículos de anchura inferior a un metro la carga:;D;No podrá sobresalir más de 0,50 metros por la extremidad anterior, ni más de 0,25 metros por la posterior.;No podrá sobresalir por la extremidad anterior, ni más de 0,50 metros por la posterior.;No podrá sobresalir más de 0,25 metros por la extremidad anterior, ni más de 0,50 metros por la posterior.;No podrá sobresalir por la extremidad anterior, ni más de 0,25 metros por la posterior.;;;
Tema 32;En todo caso, la carga que sobresalga por detrás de los vehículos deberá ser señalizada por medio de la señal:;B;S-3.;V-20.;S-5.;V-16.;;;
Tema 32;Completa la siguiente frase: Cuando el vehículo circule entre la puesta y la salida del sol o bajo condiciones meteorológicas o ambientales que disminuyan sensiblemente la visibilidad, la carga deberá ir señalizada, además, con una______. Cuando la carga sobresalga por delante, la señalización deberá hacerse por medio de una_____;A;Luz roja / luz blanca.;Luz blanca / y un pañuelo de color rojo o granate.;Luz roja / Luz amarilla.;Luz blanca / Luz amarilla.;;;
Tema 32;Completa la siguiente frase: Las cargas que sobresalgan lateralmente del gálibo del vehículo, de tal manera que su extremidad lateral se encuentre a más de 0,40 metros del borde exterior de la luz delantera o trasera de posición del vehículo, deberán estar entre la puesta y la salida del sol, así como cuando existan condiciones meteorológicas o ambientales que disminuyan sensiblemente la visibilidad, respectivamente, señalizadas, en cada una de sus extremidades laterales:;B;Hacia adelante por medio de una luz blanca exclusivamente.;Hacia adelante, por medio de una luz blanca y un dispositivo reflectante de color blanco.;Hacia adelante por medio de una luz amarilla exclusivamente.;Hacia adelante, por medio de una luz amarilla y un dispositivo reflectante de color amarilla.;;;
Tema 32;Completa la siguiente frase: Las cargas que sobresalgan lateralmente del gálibo del vehículo, de tal manera que su extremidad lateral se encuentre a más de 0,40 metros del borde exterior de la luz delantera o trasera de posición del vehículo, deberán estar entre la puesta y la salida del sol, así como cuando existan condiciones meteorológicas o ambientales que disminuyan sensiblemente la visibilidad, respectivamente, señalizadas, en cada una de sus extremidades laterales:;C;Hacia atrás, por medio de una luz roja y de un dispositivo reflectante de color rojo.;Hacia atrás, por medio de una luz amarilla y de un dispositivo reflectante de color amarillo.;Hacia atrás, por medio de una luz roja y de un dispositivo reflectante de color rojo.;Hacia atrás, por medio de una luz amarilla y de un dispositivo reflectante de color rojo.;;;
Tema 32;El Real Decreto 1428/2003 por el que se aprueba el Reglamento General de Circulación derogó:;A;El Real Decreto 13/1992.;El Real Decreto 1124/1991.;El Real Decreto 2568/1986.;El Real Decreto 2168/1998.;;;
Tema 32;La estructura del Reglamento General de Circulación queda del siguiente modo:;A;1 Título preliminar, 5 Títulos, 173 artículos, 4 disposiciones adicionales, 4 disposiciones finales y 4 Anexos.;1 Título preliminar, 5 Títulos, 96 artículos, 11 disposiciones adicionales, 2 disposiciones derogatorias, 3 disposiciones finales y 4 Anexos.;1 Título preliminar, 5 Títulos, 96 artículos, 17 disposiciones adicionales, 3 disposiciones finales y 4 Anexos.;1 Título preliminar, 5 Títulos, 96 artículos, 13 disposiciones adicionales, 3 disposiciones finales y 4 Anexos.;;;
Tema 32;El Anexo I del Reglamento General de Circulación se denomina:;D;Señalización.;Catálogo oficial de señales.;Señales de circulación;El Anexo I no contiene un título.;;;
Tema 32;El Anexo II del Reglamento General de Circulación se denomina:;B;Pruebas deportivas y otros eventos deportivos.;Pruebas deportivas, marchas ciclistas y otros eventos.;Pruebas y competiciones deportivas y otros eventos.;Pruebas deportivas y actividades deportivas.;;;
Tema 32;El Anexo III del Reglamento General de Circulación se denomina:;D;Normas y condiciones de circulación de los vehículos especiales y de los vehículos en régimen de transporte nacional e internacional.;Vehículos en régimen de transporte interurbano.;Vehículos especiales.;Normas y condiciones de circulación de los vehículos especiales y de los vehículos en régimen de transporte especial.;;;
Tema 32;¿De cuántas secciones se compone el Capítulo III del Título I del Reglamento General de Circulación?;C;De 6.;De 5;No tiene secciones.;De 11.;;;
Tema 32;¿De cuántas secciones se compone el Capitulo II del Título I del Reglamento General de Circulación?;A;De 2;De 3;No tiene secciones.;De 4.;;;
Tema 32;Respecto a los tiempos de conducción y descanso se estará a lo dispuesto:;B;En el Reglamento CE 3820/1985 y en el R.D. 2242/1996.;En el Reglamento CE 561/2006;Las respuestas a) y b) son acertadas.;Las respuestas a) y b) son erróneas.;;;
Tema 32;Las infracciones relativas a cinturones de seguridad, cascos de protección y restantes elementos de protección tendrán la consideración de:;B;Graves o muy graves.;Graves.;Muy graves.;Leves.;;;
Tema 32;Respecto al pictograma que hace referencia al uso obligatorio del cinturón de seguridad, se encuentra regulado:;B;En el Real Decreto 1245/1997;En el Anexo IV del Reglamento General de Circulación.;En la Ley de ordenación de transportes terrestres.;Las respuestas b) y c) son acertadas.;;;
Tema 32;En los vehículos de más de nueve plazas, incluido el conductor;A;Se informará a los pasajeros de la obligación de llevar abrochados los cinturones de seguridad u otros sistemas de retención infantil homologados, por el conductor, por el guía o por la persona encargada del grupo, a través de medios audiovisuales o mediante letreros o pictogramas, de acuerdo con el modelo que figura en el anexo IV, colocado en lugares visibles de cada asiento.;Todos los vehículos deberán estar dotados de cinturón de seguridad homologados siempre que se encuentren matriculados en España.;Los vehículos a que se refieren el apartado l.a.l y 2 y b del artículo 117 del Reglamento General de Circulación que no estén provistos de dispositivos de seguridad no podrán viajar niños menores de tres años de edad. Ademas, los mayores de tres años que no alcancen los 135 centímetros de estatura deberán ocupar un asiento trasero.;Todas las respuestas son acertadas.;;;
Tema 32;Están obligados a hacer uso del casco de protección homologado tanto en vía urbana como en vía interurbana los conductores:;D;De motocicletas o motocicletas con sidecar con estructura de autoprotección.;De vehículos de tres ruedas, cuadriciclos y ciclomotores.;De vehículos especiales tipo quad.;Las respuestas b) y c) son acertadas.;;;
Tema 32;Los conductores de bicicletas y, en su caso, los ocupantes estarán obligados a utilizar cascos de protección homologados:;C;En vias urbanas.;En vías urbanas e interurbanas.;En vias interurbanas.;En terrenos privados utilizados por una colectividad indeterminada de usuarios.;;;
Tema 32;Son excepciones al uso del casco para los ciclistas:;C;La circulación en vías urbanas.;La circulación en vías interurbanas en rampas ascendentes prolongadas, o por razones médicas que se acreditarán conforme establece el artículo 119.3, o en condiciones extremas de calor.;Las respuestas a) y b) son acertadas.;Las respuestas a) y b) son erróneas.;;;
Tema 32;Los conductores de bicicletas en competición, y los ciclistas profesionales, ya sea durante los entrenamientos o en competición, se regirán:;A;Por sus propias normas.;Por el Reglamento del Deporte.;Por la Ley del Deporte.;Por el Reglamento General de Vehículos.;;;
Tema 32;El color del chaleco reflectante será:;B;Amarillo en todo caso.;Rojo, amarillo o naranja.;Rojo en todo caso.;Naranja exclusivamente.;;;
Tema 32;La legislación por la que se regulan las condiciones para la comercialización y libre circulación intracomunitaria de los equipos de protección individual, que figura entre la dotación obligatoria del vehículo, cuando salgan de éste y ocupen la calzada o el arcén de las vías interurbanas es:;B;El Real Decreto 1027/1992 de 12 de enero.;El Real Decreto 1407/1992, de 20 de noviembre.;El Real Decreto 2028/1986 de 19 de enero;El Real Decreto 1598/2004 de 21 de febrero.;;;
Tema 32;Podrán circular sin los cinturones u otros sistemas de retención homologados:;C;Los conductores, al efectuar la maniobra de marcha atrás o de estacionamiento.;Las personas provistas de un certificado de exención por razones médicas graves o discapacitadas.;Las respuestas a) y b) son acertadas.;Las respuestas a) y b) son erróneas.;;;
Tema 32;Podrán circular sin los cinturones u otros sistemas de retención homologados tanto en poblado como en vía interurbana:;D;Los conductores de taxis cuando estén de servicio. Asimismo, cuando circulen en tráfico urbano o áreas urbanas de grandes ciudades, podrán transportar a personas cuya estatura no alcance los 135 centímetros sin utilizar un dispositivo de retención homologado adaptado a su talla y a su peso, siempre que ocupen un asiento trasero.;Los distribuidores de mercancías, cuando realicen sucesivas operaciones de carga y descarga de mercancías en lugares situados a corta distancia unos de otros.;Los conductores y pasajeros de los vehículos en servicios de urgencia.;Todas las respuestas son erróneas.;;;
Tema 32;Se entenderá por vehículos con alta ocupación:;A;Aquellos automóviles destinados exclusivamente al transporte de personas, cuya masa máxima autorizada no exceda de 3.500 kilogramos, que estén ocupados por el número de personas que para cada tramo de la red viaria;Aquellos automóviles destinados exclusivamente al transporte de mercancías, cuya masa máxima autorizada no exceda de 3.500 kilogramos, que estén ocupados por el número de personas que para cada tramo de la red viaria;Las respuestas a) y b) son acertadas.;Las respuestas a) y b) son erróneas.;;;
Tema 32;Los vehículos que transporten mercancías peligrosas circularán en vías urbanas como máximo:;B;Excepcionalmente a 50 kms/hora.;A 40 kms/hora;A 30 kms/hora.;Estos vehículos no pueden circular por dichas vías en ningún caso.;;;
Tema 32;La velocidad máxima en vías de dos o más carriles por sentido de circulación tratándose de vías urbanas será de:;A;50 kilómetros por hora.;40 kilómetros por hora.;20 kilómetros por hora en zonas residenciales y 40 kilómetros por hora en el resto de casos.;45 kilómetros por hora.;;;
Tema 32;La velocidad máxima en vías que dispongan de plataforma única de calzada y acera será de:;C;50 kilómetros por hora.;40 kilómetros por hora.;20 kilómetros por hora;45 kilómetros por hora.;;;
Tema 32;La velocidad máxima en vías de un único carril por sentido de circulación será de:;B;50 kilómetros por hora.;30 kilómetros por hora.;20 kilómetros por hora;45 kilómetros por hora.;;;
Tema 32;Respecto a la velocidad en travesias:;B;Será en todo caso la de 50 kilómetros por hora.;Sus límites podrán ser rebajados en travesías especialmente peligrosas por acuerdo de la autoridad municipal con el titular de la vía, y en las vías urbanas, por decisión del órgano competente de la corporación municipal.;70 kilómetros.;Todas las opciones dadas son incorrectas.;;;
Tema 32;Completa la siguiente frase: En defecto de señalización, la velocidad máxima que no deberán rebasar los vehículos en autopistas y autovías dentro de poblado será de ______ kilómetros por hora.;B;120.;80 pudiendo ser ampliado por acuerdo de la autoridad municipal y el titular de la vía;90 pudiendo ser ampliado por acuerdo de la Autoridad Municipal y el titular de la vía;100.;;;
Tema 32;La velocidad máxima a la que puede circular un autobús en una autopista es de:;B;90 kms/hora.;100 kms/hora.;110kms/hora.;80 kms/hora.;;;
Tema 32;La velocidad máxima a la que puede circular un camión en una autopista es de:;A;90 kms/hora.;100 kms/hora.;110kms/hora.;80 kms/hora.;;;
Tema 32;Las velocidades máximas fijadas para las carreteras convencionales que no discurran por suelo urbano sólo podrán ser rebasadas:;C;En 20 kilómetros por hora por turismos y motocicletas cuando adelanten a otros vehículos que circulen a velocidad inferior a aquellas.;En 20 kilómetros por hora por cualquier vehículo cuando adelanten a otros vehículos que circulen a velocidad inferior a aquéllas.;No existe tal posibilidad y debe ajustarse la conducción a la velocidad máxima de la vía en todo caso.;En 20 kilómetros por hora por cualquier vehículo cuando la velocidad máxima indicada sea de 90 kilómetros por hora y el arcén sea superior a 1,50 metros.;;;
Tema 32;Real Decreto 1428/2003, de 21 de noviembre, por el que se aprueba el Reglamento General de Circulación. Completa la siguiente frase: Los usuarios de la vía están obligados...;C;A comportarse de forma que no entorpezcan indebidamente la circulación;A comportarse de forma de forma que no causen peligro, perjuicios o molestias innecesarias a las personas, o daños a los bienes;Las respuestas a) y b) son acertadas;Las respuestas a) y b) son erróneas;;;
Tema 32;Real Decreto 1428/2003, de 21 de noviembre, por el que se aprueba el Reglamento General de Circulación. ¿Cómo se denomina el Capítulo I del Título II de esta norma?;B;Disposiciones generales;Normas generales;Dicho título carece de capítulos;Circulación de vehículos;;;
Tema 32;Real Decreto 1428/2003, de 21 de noviembre, por el que se aprueba el Reglamento General de Circulación. Señale la respuesta acertada:;C;Se deberá conducir con la diligencia y precaución necesarias para evitar todo daño, propio o ajeno, cuidando de no poner en peligro, tanto al mismo conductor como a los demás ocupantes del vehículo y al resto de los usuarios de la vía.;Queda terminantemente prohibido conducir de modo negligente o temerario.;Las respuestas a) y b) son acertadas;Las respuestas a) y b) son erróneas;;;
Tema 32;Real Decreto 1428/2003, de 21 de noviembre, por el que se aprueba el Reglamento General de Circulación. La conducción negligente es una infracción a la normativa sobre tráfico de carácter:;A;Grave;Muy grave;Grave o muy grave;Leve;;;
Tema 32;Real Decreto 1428/2003, de 21 de noviembre, por el que se aprueba el Reglamento General de Circulación. La conducción temeraria es una infracción a la normativa sobre tráfico de carácter:;C;Grave o muy grave;Grave;Muy grave;Muy grave cuya sanción será la de 500 euros sin descuento si se abona en los primeros veinte días por la gravedad de la infracción;;;
Tema 32;Real Decreto 1428/2003, de 21 de noviembre, por el que se aprueba el Reglamento General de Circulación. Son actividades que afectan a la seguridad de la circulación:;C;La colocación de contenedores en espacios privados de uso restringido a una colectividad determinada de usuarios;La realización de obras realizadas en un entorno privado sin afectación a la circulación ni al tráfico peatonal;La realización de obras;Las instalaciones efectuadas en cualquier terreno que no se encuentre afecto por el artículo 2 del Texto Refundido sobre tráfico, circulación de vehículos a motor y seguridad vial;;;
